DATE,STATION,LATITUDE,LONGITUDE,ELEVATION,TEMP,DEWP,SLP,STP,WDSP,MXSPD,MAX,MIN,PRCP,FRSHTT,RANGE,location,country
2001-01-01,71784100000.0,49.35,-123.2,168.0,44.6,42.5,1026.0,4.2,3.2,5.8,50.0,42.8,0.46,0.0,7.200000000000003,WEST VANCOUVER AUT,CA
2001-01-02,71784100000.0,49.35,-123.2,168.0,43.6,40.7,1026.8,5.0,2.2,4.9,50.7,39.6,0.02,0.0,11.1,WEST VANCOUVER AUT,CA
2001-01-03,71784100000.0,49.35,-123.2,168.0,47.9,38.8,1023.3,1.7,3.8,8.9,55.4,39.6,0.0,0.0,15.799999999999995,WEST VANCOUVER AUT,CA
2001-01-04,71784100000.0,49.35,-123.2,168.0,43.0,42.5,1025.3,3.5,1.9,5.8,55.4,39.9,0.54,0.0,15.5,WEST VANCOUVER AUT,CA
2001-01-05,71784100000.0,49.35,-123.2,168.0,47.2,45.3,1014.5,993.0,3.6,8.0,50.0,44.6,3.43,0.0,5.399999999999999,WEST VANCOUVER AUT,CA
2001-01-06,71784100000.0,49.35,-123.2,168.0,39.5,36.2,1026.0,4.1,2.3,5.8,50.7,33.4,0.0,0.0,17.300000000000004,WEST VANCOUVER AUT,CA
2001-01-07,71784100000.0,49.35,-123.2,168.0,37.1,31.6,1017.6,995.8,2.2,4.9,47.3,33.4,0.0,0.0,13.9,WEST VANCOUVER AUT,CA
2001-01-08,71784100000.0,49.35,-123.2,168.0,45.1,36.4,1006.6,985.2,3.7,8.0,53.6,33.4,0.0,0.0,20.200000000000003,WEST VANCOUVER AUT,CA
2001-01-09,71784100000.0,49.35,-123.2,168.0,43.6,33.3,1010.0,988.4,5.1,8.9,53.6,38.1,0.21,0.0,15.5,WEST VANCOUVER AUT,CA
2001-01-10,71784100000.0,49.35,-123.2,168.0,45.3,36.8,1005.1,983.8,4.8,9.9,53.1,38.1,0.06,0.0,15.0,WEST VANCOUVER AUT,CA
2001-01-11,71784100000.0,49.35,-123.2,168.0,41.0,34.1,1008.1,986.6,1.4,3.9,50.9,38.1,0.0,0.0,12.799999999999995,WEST VANCOUVER AUT,CA
2001-01-12,71784100000.0,49.35,-123.2,168.0,39.1,35.6,1014.4,992.8,1.1,1.9,46.6,36.3,0.0,0.0,10.300000000000004,WEST VANCOUVER AUT,CA
2001-01-13,71784100000.0,49.35,-123.2,168.0,38.2,35.7,1018.0,996.2,2.1,4.9,42.3,36.3,0.02,0.0,6.0,WEST VANCOUVER AUT,CA
2001-01-14,71784100000.0,49.35,-123.2,168.0,36.3,34.5,1024.6,2.6,1.2,4.9,40.8,32.7,0.09,0.0,8.099999999999994,WEST VANCOUVER AUT,CA
2001-01-15,71784100000.0,49.35,-123.2,168.0,35.4,31.5,1033.2,11.0,1.9,4.9,44.6,30.2,0.0,0.0,14.400000000000002,WEST VANCOUVER AUT,CA
2001-01-16,71784100000.0,49.35,-123.2,168.0,33.6,28.3,1032.1,9.8,2.0,4.9,45.1,29.1,0.0,0.0,16.0,WEST VANCOUVER AUT,CA
2001-01-17,71784100000.0,49.35,-123.2,168.0,33.5,28.8,1030.9,8.7,1.0,2.9,41.9,29.1,0.0,0.0,12.799999999999995,WEST VANCOUVER AUT,CA
2001-01-18,71784100000.0,49.35,-123.2,168.0,37.4,36.2,1028.7,6.6,1.8,5.8,42.8,35.6,0.1,0.0,7.199999999999996,WEST VANCOUVER AUT,CA
2001-01-19,71784100000.0,49.35,-123.2,168.0,42.6,41.3,1022.1,0.2,4.0,7.0,45.0,35.6,0.83,0.0,9.4,WEST VANCOUVER AUT,CA
2001-01-20,71784100000.0,49.35,-123.2,168.0,42.3,35.1,1021.9,0.1,4.4,7.0,46.4,37.4,0.22,0.0,9.0,WEST VANCOUVER AUT,CA
2001-01-21,71784100000.0,49.35,-123.2,168.0,40.8,39.2,1020.3,998.5,2.6,6.0,44.6,37.4,0.59,0.0,7.200000000000003,WEST VANCOUVER AUT,CA
2001-01-22,71784100000.0,49.35,-123.2,168.0,39.3,37.9,1025.4,3.5,1.8,3.9,48.2,33.8,0.01,0.0,14.400000000000006,WEST VANCOUVER AUT,CA
2001-01-23,71784100000.0,49.35,-123.2,168.0,38.7,34.3,1019.0,997.2,1.0,1.9,50.0,33.8,0.0,0.0,16.200000000000003,WEST VANCOUVER AUT,CA
2001-01-24,71784100000.0,49.35,-123.2,168.0,40.5,33.8,1015.0,993.3,1.1,2.9,50.5,33.3,0.0,0.0,17.200000000000003,WEST VANCOUVER AUT,CA
2001-01-25,71784100000.0,49.35,-123.2,168.0,41.6,38.0,1017.2,995.5,2.6,5.8,50.0,37.4,0.41,0.0,12.6,WEST VANCOUVER AUT,CA
2001-01-26,71784100000.0,49.35,-123.2,168.0,38.4,34.6,1020.1,998.3,1.5,6.0,47.1,32.0,0.0,0.0,15.1,WEST VANCOUVER AUT,CA
2001-01-27,71784100000.0,49.35,-123.2,168.0,35.3,33.0,1025.5,3.5,0.9,1.9,44.6,30.2,0.0,0.0,14.400000000000002,WEST VANCOUVER AUT,CA
2001-01-28,71784100000.0,49.35,-123.2,168.0,37.9,32.5,1019.1,997.2,2.0,6.0,46.4,33.8,0.0,0.0,12.6,WEST VANCOUVER AUT,CA
2001-01-29,71784100000.0,49.35,-123.2,168.0,39.8,34.5,1008.5,986.9,6.5,10.9,47.1,33.3,0.68,0.0,13.800000000000004,WEST VANCOUVER AUT,CA
2001-01-30,71784100000.0,49.35,-123.2,168.0,38.1,34.0,1024.4,2.5,3.5,5.8,45.3,34.9,1.02,0.0,10.4,WEST VANCOUVER AUT,CA
2001-01-31,71784100000.0,49.35,-123.2,168.0,41.4,41.1,1027.7,5.8,2.3,3.9,44.6,39.2,0.0,0.0,5.399999999999999,WEST VANCOUVER AUT,CA
2001-02-01,71784100000.0,49.35,-123.2,168.0,41.3,38.6,1026.6,4.7,2.5,7.0,48.2,37.4,0.04,0.0,10.800000000000004,WEST VANCOUVER AUT,CA
2001-02-02,71784100000.0,49.35,-123.2,168.0,43.0,37.3,1018.4,996.7,5.1,12.0,50.4,36.9,0.17,0.0,13.5,WEST VANCOUVER AUT,CA
2001-02-03,71784100000.0,49.35,-123.2,168.0,39.3,36.3,1026.7,4.8,2.9,4.9,45.3,33.3,0.09,0.0,12.0,WEST VANCOUVER AUT,CA
2001-02-04,71784100000.0,49.35,-123.2,168.0,40.8,35.8,1024.9,3.0,3.7,5.8,45.9,33.3,0.0,0.0,12.6,WEST VANCOUVER AUT,CA
2001-02-05,71784100000.0,49.35,-123.2,168.0,39.3,36.6,1021.1,999.3,3.1,7.0,46.9,32.7,0.06,0.0,14.199999999999996,WEST VANCOUVER AUT,CA
2001-02-06,71784100000.0,49.35,-123.2,168.0,36.4,32.6,1024.6,2.6,2.5,4.9,44.6,32.0,0.26,0.0,12.6,WEST VANCOUVER AUT,CA
2001-02-07,71784100000.0,49.35,-123.2,168.0,31.1,22.0,1025.8,3.7,2.3,5.1,45.0,25.7,0.0,0.0,19.3,WEST VANCOUVER AUT,CA
2001-02-08,71784100000.0,49.35,-123.2,168.0,31.6,27.1,1021.2,999.1,3.1,5.8,38.3,25.7,0.0,0.0,12.599999999999998,WEST VANCOUVER AUT,CA
2001-02-09,71784100000.0,49.35,-123.2,168.0,35.9,34.5,1014.2,992.4,1.5,4.1,46.4,33.8,0.37,0.0,12.6,WEST VANCOUVER AUT,CA
2001-02-10,71784100000.0,49.35,-123.2,168.0,37.0,32.8,1010.1,988.5,2.6,5.8,46.0,32.4,0.0,0.0,13.6,WEST VANCOUVER AUT,CA
2001-02-11,71784100000.0,49.35,-123.2,168.0,36.5,30.8,1008.8,987.1,2.3,4.9,48.2,30.2,0.0,0.0,18.000000000000004,WEST VANCOUVER AUT,CA
2001-02-12,71784100000.0,49.35,-123.2,168.0,36.3,28.3,1017.3,995.5,1.9,4.9,48.0,29.7,0.0,0.0,18.3,WEST VANCOUVER AUT,CA
2001-02-13,71784100000.0,49.35,-123.2,168.0,35.6,27.6,1023.2,1.3,2.2,4.1,46.4,30.2,0.0,0.0,16.2,WEST VANCOUVER AUT,CA
2001-02-14,71784100000.0,49.35,-123.2,168.0,36.3,30.2,1020.6,998.7,2.1,4.9,46.8,29.7,0.0,0.0,17.099999999999998,WEST VANCOUVER AUT,CA
2001-02-15,71784100000.0,49.35,-123.2,168.0,36.6,24.7,1014.9,993.2,2.3,7.0,44.8,31.8,0.0,0.0,12.999999999999996,WEST VANCOUVER AUT,CA
2001-02-16,71784100000.0,49.35,-123.2,168.0,31.2,12.7,1019.8,997.8,2.6,5.8,34.5,28.4,0.0,0.0,6.100000000000001,WEST VANCOUVER AUT,CA
2001-02-17,71784100000.0,49.35,-123.2,168.0,34.1,30.7,1022.8,0.7,1.3,2.9,42.8,30.2,0.06,0.0,12.599999999999998,WEST VANCOUVER AUT,CA
2001-02-18,71784100000.0,49.35,-123.2,168.0,39.4,36.0,1014.3,992.6,2.7,5.8,45.0,30.4,0.0,0.0,14.6,WEST VANCOUVER AUT,CA
2001-02-19,71784100000.0,49.35,-123.2,168.0,39.7,34.1,1018.2,996.5,1.7,4.1,50.0,32.0,0.0,0.0,18.0,WEST VANCOUVER AUT,CA
2001-02-20,71784100000.0,49.35,-123.2,168.0,40.1,30.3,1016.4,994.7,1.8,3.9,52.2,32.0,0.0,0.0,20.200000000000003,WEST VANCOUVER AUT,CA
2001-02-21,71784100000.0,49.35,-123.2,168.0,42.7,32.8,1016.4,994.7,1.3,2.9,51.8,35.6,0.0,0.0,16.199999999999996,WEST VANCOUVER AUT,CA
2001-02-22,71784100000.0,49.35,-123.2,168.0,43.2,39.5,1016.4,994.8,0.8,2.9,53.2,35.4,0.0,0.0,17.800000000000004,WEST VANCOUVER AUT,CA
2001-02-23,71784100000.0,49.35,-123.2,168.0,40.7,38.9,1012.9,991.3,0.8,1.9,51.8,36.7,0.0,0.0,15.099999999999994,WEST VANCOUVER AUT,CA
2001-02-24,71784100000.0,49.35,-123.2,168.0,40.6,37.7,1008.4,986.9,1.6,2.9,51.8,35.6,0.04,0.0,16.199999999999996,WEST VANCOUVER AUT,CA
2001-02-25,71784100000.0,49.35,-123.2,168.0,37.2,29.9,1014.5,992.8,2.1,4.9,52.3,30.0,0.0,0.0,22.3,WEST VANCOUVER AUT,CA
2001-02-26,71784100000.0,49.35,-123.2,168.0,37.7,30.3,1028.4,6.4,2.3,5.1,48.2,31.1,0.0,0.0,17.1,WEST VANCOUVER AUT,CA
2001-02-27,71784100000.0,49.35,-123.2,168.0,39.8,29.2,1029.9,7.9,2.1,4.9,51.8,32.0,0.0,0.0,19.8,WEST VANCOUVER AUT,CA
2001-02-28,71784100000.0,49.35,-123.2,168.0,42.1,28.7,1020.9,999.1,2.5,5.8,53.6,35.6,0.0,0.0,18.0,WEST VANCOUVER AUT,CA
2001-03-01,71784100000.0,49.35,-123.2,168.0,39.5,33.8,1013.0,991.4,3.7,9.9,54.1,34.9,0.0,0.0,19.200000000000003,WEST VANCOUVER AUT,CA
2001-03-02,71784100000.0,49.35,-123.2,168.0,38.2,36.1,1007.1,985.5,3.4,9.9,48.2,35.6,1.69,0.0,12.6,WEST VANCOUVER AUT,CA
2001-03-03,71784100000.0,49.35,-123.2,168.0,39.5,33.3,1016.5,994.8,3.0,5.8,49.5,34.9,0.09,0.0,14.6,WEST VANCOUVER AUT,CA
2001-03-04,71784100000.0,49.35,-123.2,168.0,37.8,30.1,1015.6,993.8,1.3,2.9,51.8,30.2,0.0,0.0,21.6,WEST VANCOUVER AUT,CA
2001-03-05,71784100000.0,49.35,-123.2,168.0,44.1,36.2,1014.7,993.1,1.1,2.9,51.4,30.2,0.0,0.0,21.2,WEST VANCOUVER AUT,CA
2001-03-06,71784100000.0,49.35,-123.2,168.0,45.8,40.0,1014.7,993.1,1.4,2.9,59.0,38.8,0.0,0.0,20.200000000000003,WEST VANCOUVER AUT,CA
2001-03-07,71784100000.0,49.35,-123.2,168.0,49.1,39.1,1022.2,0.6,1.6,3.9,62.6,41.0,0.0,0.0,21.6,WEST VANCOUVER AUT,CA
2001-03-08,71784100000.0,49.35,-123.2,168.0,47.7,42.7,1019.4,997.8,1.3,3.9,63.5,40.1,0.0,0.0,23.4,WEST VANCOUVER AUT,CA
2001-03-09,71784100000.0,49.35,-123.2,168.0,42.4,39.2,1022.5,0.7,2.5,7.0,55.4,35.6,0.24,0.0,19.8,WEST VANCOUVER AUT,CA
2001-03-10,71784100000.0,49.35,-123.2,168.0,42.7,35.9,1022.1,0.4,1.7,3.9,55.4,35.6,0.0,0.0,19.8,WEST VANCOUVER AUT,CA
2001-03-11,71784100000.0,49.35,-123.2,168.0,42.4,37.3,1022.4,0.6,1.6,5.8,56.5,35.8,0.0,0.0,20.700000000000003,WEST VANCOUVER AUT,CA
2001-03-12,71784100000.0,49.35,-123.2,168.0,42.9,39.6,1025.4,3.6,1.5,3.9,45.0,37.0,0.0,0.0,8.0,WEST VANCOUVER AUT,CA
2001-03-13,71784100000.0,49.35,-123.2,168.0,44.8,41.2,1018.6,996.9,3.0,4.9,50.0,42.8,0.05,0.0,7.200000000000003,WEST VANCOUVER AUT,CA
2001-03-14,71784100000.0,49.35,-123.2,168.0,41.6,35.0,1022.4,0.6,2.1,4.1,53.2,34.7,0.0,0.0,18.5,WEST VANCOUVER AUT,CA
2001-03-15,71784100000.0,49.35,-123.2,168.0,40.3,34.8,1022.4,0.6,3.3,6.0,51.8,34.7,0.0,0.0,17.099999999999994,WEST VANCOUVER AUT,CA
2001-03-16,71784100000.0,49.35,-123.2,168.0,37.8,37.3,1018.3,996.5,2.0,4.9,43.3,35.1,0.8,0.0,8.199999999999996,WEST VANCOUVER AUT,CA
2001-03-17,71784100000.0,49.35,-123.2,168.0,39.5,36.1,1018.4,996.6,4.2,7.0,44.6,37.4,0.0,0.0,7.200000000000003,WEST VANCOUVER AUT,CA
2001-03-18,71784100000.0,49.35,-123.2,168.0,45.0,43.3,1016.5,994.9,5.4,8.0,48.2,42.8,1.15,0.0,5.400000000000006,WEST VANCOUVER AUT,CA
2001-03-19,71784100000.0,49.35,-123.2,168.0,39.7,37.1,1016.1,994.4,3.7,8.9,48.4,33.4,0.52,0.0,15.0,WEST VANCOUVER AUT,CA
2001-03-20,71784100000.0,49.35,-123.2,168.0,42.2,39.4,1024.5,2.6,2.8,5.8,50.0,39.2,0.47,0.0,10.799999999999995,WEST VANCOUVER AUT,CA
2001-03-21,71784100000.0,49.35,-123.2,168.0,39.9,33.8,1024.8,2.9,2.2,5.8,54.7,32.0,0.0,0.0,22.700000000000003,WEST VANCOUVER AUT,CA
2001-03-22,71784100000.0,49.35,-123.2,168.0,40.4,33.5,1024.8,2.9,1.8,14.0,51.8,33.8,0.91,10000.0,18.0,WEST VANCOUVER AUT,CA
2001-03-23,71784100000.0,49.35,-123.2,168.0,42.9,34.9,1020.8,999.0,1.6,2.9,55.4,35.6,0.0,0.0,19.8,WEST VANCOUVER AUT,CA
2001-03-24,71784100000.0,49.35,-123.2,168.0,47.8,38.0,1014.2,992.7,1.1,2.9,56.8,35.2,0.0,0.0,21.599999999999994,WEST VANCOUVER AUT,CA
2001-03-25,71784100000.0,49.35,-123.2,168.0,50.5,45.6,1009.7,988.4,4.1,8.0,55.4,46.4,0.0,0.0,9.0,WEST VANCOUVER AUT,CA
2001-03-26,71784100000.0,49.35,-123.2,168.0,43.6,39.2,1020.1,998.4,2.1,3.9,55.2,34.7,0.39,0.0,20.5,WEST VANCOUVER AUT,CA
2001-03-27,71784100000.0,49.35,-123.2,168.0,39.4,33.6,1025.0,3.1,4.6,8.9,52.2,34.7,0.0,0.0,17.5,WEST VANCOUVER AUT,CA
2001-03-28,71784100000.0,49.35,-123.2,168.0,39.0,38.5,1015.9,994.2,1.6,6.0,42.8,36.7,0.95,0.0,6.099999999999994,WEST VANCOUVER AUT,CA
2001-03-29,71784100000.0,49.35,-123.2,168.0,37.2,36.0,1022.0,0.2,2.8,4.9,46.0,33.6,0.11,0.0,12.4,WEST VANCOUVER AUT,CA
2001-03-30,71784100000.0,49.35,-123.2,168.0,39.3,36.8,1021.7,999.8,2.1,4.1,50.0,33.8,0.58,0.0,16.200000000000003,WEST VANCOUVER AUT,CA
2001-03-31,71784100000.0,49.35,-123.2,168.0,43.7,40.9,1018.8,997.1,2.3,7.0,50.9,33.3,0.01,0.0,17.6,WEST VANCOUVER AUT,CA
2001-04-01,71784100000.0,49.35,-123.2,168.0,41.8,36.9,1014.0,992.4,2.1,5.8,50.0,35.6,0.5,0.0,14.4,WEST VANCOUVER AUT,CA
2001-04-02,71784100000.0,49.35,-123.2,168.0,39.0,33.2,1012.1,990.5,2.2,4.9,50.5,30.9,0.0,0.0,19.6,WEST VANCOUVER AUT,CA
2001-04-03,71784100000.0,49.35,-123.2,168.0,39.9,32.7,1016.0,994.3,2.4,4.1,51.4,30.9,0.01,0.0,20.5,WEST VANCOUVER AUT,CA
2001-04-04,71784100000.0,49.35,-123.2,168.0,44.5,35.7,1023.3,1.5,2.3,4.9,57.2,36.7,0.0,0.0,20.5,WEST VANCOUVER AUT,CA
2001-04-05,71784100000.0,49.35,-123.2,168.0,41.7,36.6,1018.5,996.8,2.5,5.8,51.1,35.6,0.0,0.0,15.5,WEST VANCOUVER AUT,CA
2001-04-06,71784100000.0,49.35,-123.2,168.0,39.1,37.2,1006.6,985.0,2.7,6.0,48.2,33.8,1.02,0.0,14.400000000000006,WEST VANCOUVER AUT,CA
2001-04-07,71784100000.0,49.35,-123.2,168.0,39.3,34.0,1011.0,989.3,2.3,4.9,51.8,33.8,0.02,0.0,18.0,WEST VANCOUVER AUT,CA
2001-04-08,71784100000.0,49.35,-123.2,168.0,40.4,33.8,1014.4,992.7,2.1,4.9,52.3,32.0,0.01,0.0,20.3,WEST VANCOUVER AUT,CA
2001-04-09,71784100000.0,49.35,-123.2,168.0,42.7,36.9,1022.0,0.2,2.2,3.9,53.2,32.0,0.0,0.0,21.200000000000003,WEST VANCOUVER AUT,CA
2001-04-10,71784100000.0,49.35,-123.2,168.0,41.9,37.4,1016.7,995.0,2.3,7.0,50.2,35.8,0.0,0.0,14.400000000000006,WEST VANCOUVER AUT,CA
2001-04-11,71784100000.0,49.35,-123.2,168.0,43.8,30.1,1016.0,994.3,2.9,7.0,59.0,35.6,0.27,0.0,23.4,WEST VANCOUVER AUT,CA
2001-04-12,71784100000.0,49.35,-123.2,168.0,43.5,28.0,1017.2,995.7,3.0,5.8,59.9,34.7,0.0,0.0,25.2,WEST VANCOUVER AUT,CA
2001-04-13,71784100000.0,49.35,-123.2,168.0,41.0,36.8,1020.4,998.6,1.7,2.9,50.0,35.6,0.59,0.0,14.4,WEST VANCOUVER AUT,CA
2001-04-14,71784100000.0,49.35,-123.2,168.0,41.0,33.2,1025.9,4.1,2.4,5.1,51.8,33.8,0.0,0.0,18.0,WEST VANCOUVER AUT,CA
2001-04-15,71784100000.0,49.35,-123.2,168.0,45.2,33.2,1022.2,0.4,1.9,3.9,62.6,35.6,0.0,0.0,27.0,WEST VANCOUVER AUT,CA
2001-04-16,71784100000.0,49.35,-123.2,168.0,56.2,34.1,1016.4,995.0,2.9,8.0,63.3,35.8,0.0,0.0,27.5,WEST VANCOUVER AUT,CA
