DATE,POPULATION,AREA
31/12/2001,4694000,Greater Toronto Area
31/12/2002,4777000,Greater Toronto Area
31/12/2003,4861000,Greater Toronto Area
31/12/2004,4948000,Greater Toronto Area
31/12/2005,5035000,Greater Toronto Area
31/12/2006,5125000,Greater Toronto Area
31/12/2007,5216000,Greater Toronto Area
31/12/2008,5309000,Greater Toronto Area
31/12/2009,5403000,Greater Toronto Area
31/12/2010,5499000,Greater Toronto Area
31/12/2011,5593000,Greater Toronto Area
31/12/2012,5660000,Greater Toronto Area
31/12/2013,5728000,Greater Toronto Area
31/12/2014,5797000,Greater Toronto Area
31/12/2015,5867000,Greater Toronto Area
31/12/2016,5938000,Greater Toronto Area
31/12/2017,6010000,Greater Toronto Area
31/12/2018,6082000,Greater Toronto Area
31/12/2019,6139000,Greater Toronto Area
31/12/2020,6197000,Greater Toronto Area
31/12/2021,6255000,Greater Toronto Area
31/12/2001,1990000,Greater Vancouver Area
31/12/2002,2015000,Greater Vancouver Area
31/12/2003,2041000,Greater Vancouver Area
31/12/2004,2067000,Greater Vancouver Area
31/12/2005,2093000,Greater Vancouver Area
31/12/2006,2121000,Greater Vancouver Area
31/12/2007,2160000,Greater Vancouver Area
31/12/2008,2198000,Greater Vancouver Area
31/12/2009,2238000,Greater Vancouver Area
31/12/2010,2278000,Greater Vancouver Area
31/12/2011,2317000,Greater Vancouver Area
31/12/2012,2347000,Greater Vancouver Area
31/12/2013,2376000,Greater Vancouver Area
31/12/2014,2407000,Greater Vancouver Area
31/12/2015,2437000,Greater Vancouver Area
31/12/2016,2468000,Greater Vancouver Area
31/12/2017,2499000,Greater Vancouver Area
31/12/2018,2531000,Greater Vancouver Area
31/12/2019,2556000,Greater Vancouver Area
31/12/2020,2581000,Greater Vancouver Area
31/12/2021,2606000,Greater Vancouver Area
31/12/2001,955000,Edmonton
31/12/2002,979000,Edmonton
31/12/2003,1004000,Edmonton
31/12/2004,1030000,Edmonton
31/12/2005,1056000,Edmonton
31/12/2006,1083000,Edmonton
31/12/2007,1109000,Edmonton
31/12/2008,1135000,Edmonton
31/12/2009,1162000,Edmonton
31/12/2010,1190000,Edmonton
31/12/2011,1220000,Edmonton
31/12/2012,1253000,Edmonton
31/12/2013,1288000,Edmonton
31/12/2014,1324000,Edmonton
31/12/2015,1360000,Edmonton
31/12/2016,1398000,Edmonton
31/12/2017,1437000,Edmonton
31/12/2018,1477000,Edmonton
31/12/2019,1513000,Edmonton
31/12/2020,1547000,Edmonton
31/12/2021,1581000,Edmonton
31/12/2001,940000,Calgary
31/12/2002,959000,Calgary
31/12/2003,978000,Calgary
31/12/2004,997000,Calgary
31/12/2005,1017000,Calgary
31/12/2006,1038000,Calgary
31/12/2007,1062000,Calgary
31/12/2008,1087000,Calgary
31/12/2009,1112000,Calgary
31/12/2010,1137000,Calgary
31/12/2011,1164000,Calgary
31/12/2012,1195000,Calgary
31/12/2013,1227000,Calgary
31/12/2014,1259000,Calgary
31/12/2015,1292000,Calgary
31/12/2016,1326000,Calgary
31/12/2017,1361000,Calgary
31/12/2018,1397000,Calgary
31/12/2019,1430000,Calgary
31/12/2020,1461000,Calgary
31/12/2021,1491000,Calgary
